Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
09/02/2020,Sunday,18:45,0.00,18.00,0,0,1,2,16
09/02/2020,Sunday,18:45,0.00,18.00,0,1,0,2,15
09/02/2020,Sunday,19:25,0.00,19.00,0,2,2,0,14
09/02/2020,Sunday,19:30,0.00,19.00,0,2,0,1,12
09/02/2020,Sunday,19:45,0.00,19.00,0,0,1,2,16
09/02/2020,Sunday,21:10,0.00,21.00,0,2,0,2,18
09/02/2020,Sunday,21:20,0.00,21.00,0,2,0,2,18
09/02/2020,Sunday,,1.00,21.00,0,0,2,0,8
09/02/2020,Sunday,,1.00,21.00,0,0,0,0,0
09/02/2020,Sunday,,1.00,21.00,0,0,0,1,6
09/02/2020,Sunday,,1.00,21.00,0,0,0,1,6
16/02/2020,Sunday,19:00,0.00,19.00,0,4,0,4,36
16/02/2020,Sunday,19:30,0.00,19.00,0,2,0,1,12
16/02/2020,Sunday,19:45,0.00,19.00,0,2,0,2,18
16/02/2020,Sunday,19:45,0.00,19.00,0,0,1,1,10
16/02/2020,Sunday,20:00,0.00,20.00,0,0,2,0,8
16/02/2020,Sunday,20:20,0.00,20.00,0,0,2,4,32
16/02/2020,Sunday,,1.00,20.00,1,0,0,1,8
16/02/2020,Sunday,,1.00,20.00,0,1,0,1,9
23/02/2020,Sunday,18:30,0.00,18.00,0,0,1,3,22
23/02/2020,Sunday,19:00,0.00,19.00,1,0,0,1,8
23/02/2020,Sunday,19:20,0.00,19.00,0,1,0,2,15
23/02/2020,Sunday,19:30,0.00,19.00,0,0,1,2,16
23/02/2020,Sunday,19:45,0.00,19.00,0,0,3,5,42
23/02/2020,Sunday,20:00,0.00,20.00,0,4,0,3,30
23/02/2020,Sunday,20:20,0.00,20.00,0,0,2,4,32
23/02/2020,Sunday,20:40,0.00,20.00,1,0,0,2,14
23/02/2020,Sunday,20:40,0.00,20.00,0,0,1,3,22
23/02/2020,Sunday,21:00,0.00,21.00,0,0,1,1,10
23/02/2020,Sunday,,1.00,21.00,0,2,0,2,18
01/03/2020,Sunday,19:40,0.00,19.00,0,2,0,2,18
01/03/2020,Sunday,20:00,0.00,20.00,1,0,0,2,14
01/03/2020,Sunday,20:30,0.00,20.00,0,0,1,2,16
01/03/2020,Sunday,20:40,0.00,20.00,0,2,0,2,18
01/03/2020,Sunday,21:00,0.00,21.00,0,5,0,5,45
01/03/2020,Sunday,21:15,0.00,21.00,0,0,1,2,16
01/03/2020,Sunday,,1.00,21.00,0,0,0,1,6
08/03/2020,Sunday,19:00,0.00,19.00,0,1,0,2,15
08/03/2020,Sunday,19:00,0.00,19.00,1,0,0,2,14
08/03/2020,Sunday,19:15,0.00,19.00,0,0,2,5,38
08/03/2020,Sunday,19:30,0.00,19.00,1,1,1,1,15
08/03/2020,Sunday,19:40,0.00,19.00,0,1,2,3,29
08/03/2020,Sunday,19:50,0.00,19.00,0,0,1,2,16
08/03/2020,Sunday,20:10,0.00,20.00,0,2,0,4,30
08/03/2020,Sunday,20:20,0.00,20.00,0,0,1,2,16
08/03/2020,Sunday,20:30,0.00,20.00,0,0,2,4,32
08/03/2020,Sunday,20:45,0.00,20.00,0,1,0,2,15
