valeur petite frite,valeur moyenne frite,valeur grande frite,valeur burger,valeur commande
0,0,4,12,16
0,3,0,12,15
0,6,8,0,14
0,6,0,6,12
0,0,4,12,16
0,6,0,12,18
0,6,0,12,18
0,0,8,0,8
0,0,0,0,0
0,0,0,6,6
0,0,0,6,6
0,12,0,24,36
0,6,0,6,12
0,6,0,12,18
0,0,4,6,10
0,0,8,0,8
0,0,8,24,32
2,0,0,6,8
0,3,0,6,9
0,0,4,18,22
2,0,0,6,8
0,3,0,12,15
0,0,4,12,16
0,0,12,30,42
0,12,0,18,30
0,0,8,24,32
2,0,0,12,14
0,0,4,18,22
0,0,4,6,10
0,6,0,12,18
0,6,0,12,18
2,0,0,12,14
0,0,4,12,16
0,6,0,12,18
0,15,0,30,45
0,0,4,12,16
0,0,0,6,6
0,3,0,12,15
2,0,0,12,14
0,0,8,30,38
2,3,4,6,15
0,3,8,18,29
0,0,4,12,16
0,6,0,24,30
0,0,4,12,16
0,0,8,24,32
0,3,0,12,15
0,6,0,12,18
4,0,0,12,16
0,3,0,12,15
0,0,4,0,4
0,0,4,6,10
2,0,0,12,14
0,3,4,6,13
0,0,4,12,16
0,3,8,36,47
0,12,0,24,36
0,3,0,18,21
0,9,0,18,27
0,6,0,12,18
0,0,4,12,16
0,3,4,18,25
2,0,0,18,20
2,0,4,12,18
0,0,4,6,10
2,0,0,6,8
0,3,0,0,3
0,0,4,0,4
0,3,8,0,11
0,0,8,0,8
0,3,8,18,29
0,3,0,12,15
2,0,0,18,20
0,0,12,18,30
0,3,0,12,15
0,0,4,0,4
0,0,4,0,4
0,6,0,0,6
0,6,0,24,30
0,6,0,30,36
4,6,0,0,10
0,9,0,18,27
0,3,0,12,15
0,3,0,18,21
0,3,4,12,19
0,0,0,6,6
0,6,0,0,6
0,3,12,30,45
0,3,0,12,15
0,6,0,18,24
0,3,0,24,27
2,0,0,0,2
0,0,8,0,8
2,0,0,0,2
2,0,0,12,14
0,0,8,0,8
2,6,0,18,26
2,0,0,0,2
2,0,0,0,2
0,3,0,0,3
0,3,0,0,3
0,3,0,6,9
0,0,4,6,10
4,3,0,12,19
0,0,4,0,4
2,0,0,6,8
2,0,0,0,2
0,0,4,0,4
0,0,0,6,6
0,3,0,0,3
0,3,4,0,7
0,3,0,0,3
0,0,4,6,10
6,0,0,18,24
0,3,0,6,9
2,3,0,12,17
0,3,0,0,3
2,0,0,0,2
